2013-01-15	 	Prel COOP KON	 	-71,60	 	8 711,04
2013-01-15	 	Prel ICA SUPE	 	-23,80	 	8 782,64
2013-01-14	 	Prel COOP KON	 	-54,76	 	8 806,44
2013-01-14	 	Prel DUBLIN A	 	-18,04	 	8 861,20
2013-01-13	 	Prel MUSEUM O	 	-67,10	 	8 879,24
2013-01-15	 	2013-01-13	 	HOTEL SALISBUR	 	-118,52	 	8 946,34
2013-01-15	 	2013-01-14	 	FAC FLYGBUSSAR	 	-99,00	 	9 064,86
2013-01-15	 	2013-01-13	 	JFK ZPIZZA B28	 	-63,01	 	9 163,86
2013-01-15	 	2013-01-13	 	JFK TVM JFK03	 	-32,93	 	9 226,87
2013-01-14	 	2013-01-12	 	STARBUCKS Ä093	 	-44,95	 	9 259,80
2013-01-14	 	2013-01-13	 	STARBUCKS Ä075	 	-40,66	 	9 304,75
2013-01-14	 	2013-01-11	 	THE LIBRARY SH	 	-16,20	 	9 345,41
2013-01-14	 	2013-01-11	 	TICKETMASTER*M	 	-938,75	 	9 361,61
2013-01-14	 	2013-01-11	 	EUROPA CAFE	 	-62,34	 	10 300,36
2013-01-14	 	2013-01-12	 	SHAKE SHACK FU	 	-58,64	 	10 362,70
2013-01-11	 	2013-01-09	 	HMSHOST SWEDEN	 	-53,00	 	10 421,34
2013-01-10	 	2013-01-09	 	OKQ8	 	-43,00	 	10 474,34
2013-01-10	 	2013-01-09	 	BURGER KING	 	-64,14	 	10 517,34
2013-01-10	 	2013-01-09	 	UTTAGSAVGIFT	 	-35,00	 	10 581,48
2013-01-10	 	2013-01-09	 	787 7TH AVENUE	 	-287,49	 	10 616,48
2013-01-10	 	2013-01-09	 	FAC FLYGBUSSAR	 	-99,00	 	10 903,97
2013-01-10	 	2013-01-08	 	OKQ8	 	-69,00	 	11 002,97
2013-01-09	 	2013-01-07	 	COOP KONSUM BE	 	-61,40	 	11 071,97
2013-01-09	 	2013-01-08	 	SF BOKHANDEL A	 	-263,00	 	11 133,37
